approval_id,asset_id,reviewer_role,review_round,decision,decision_date,top_issue,notes
APR-001,AS-002,Client_Brand,1,Approve,2026-02-18,Color_palette,
APR-002,AS-003,Client_Legal,2,Revise,2026-02-17,Logo_usage,Use_approved_hex_values
APR-003,AS-004,Internal_CD,3,Hold,2026-02-16,Character_proportions,Remove_glitch_on_face
APR-004,AS-005,Producer,4,Approve,2026-02-15,Copy_tone,Swap_to_licensed_alt
APR-005,AS-006,Licensing,1,Revise,2026-02-14,Music_licensing,Tighten_for_6s_cut
APR-006,AS-007,Client_Brand,2,Hold,2026-02-13,Subtitle_safe-zone,
APR-007,AS-008,Client_Legal,3,Approve,2026-02-12,None,Use_approved_hex_values
APR-008,AS-009,Internal_CD,4,Revise,2026-02-11,Color_palette,Remove_glitch_on_face
APR-009,AS-010,Producer,1,Hold,2026-02-10,Logo_usage,Swap_to_licensed_alt
APR-010,AS-011,Licensing,2,Approve,2026-02-09,Character_proportions,Tighten_for_6s_cut
APR-011,AS-012,Client_Brand,3,Revise,2026-02-08,Copy_tone,
APR-012,AS-013,Client_Legal,4,Hold,2026-02-07,Music_licensing,Use_approved_hex_values
APR-013,AS-014,Internal_CD,1,Approve,2026-02-06,Subtitle_safe-zone,Remove_glitch_on_face
APR-014,AS-015,Producer,2,Revise,2026-02-05,None,Swap_to_licensed_alt
APR-015,AS-016,Licensing,3,Hold,2026-02-04,Color_palette,Tighten_for_6s_cut
APR-016,AS-017,Client_Brand,4,Approve,2026-02-03,Logo_usage,
APR-017,AS-018,Client_Legal,1,Revise,2026-02-02,Character_proportions,Use_approved_hex_values
APR-018,AS-019,Internal_CD,2,Hold,2026-02-01,Copy_tone,Remove_glitch_on_face
APR-019,AS-020,Producer,3,Approve,2026-01-31,Music_licensing,Swap_to_licensed_alt
APR-020,AS-021,Licensing,4,Revise,2026-01-30,Subtitle_safe-zone,Tighten_for_6s_cut
APR-021,AS-022,Client_Brand,1,Hold,2026-01-29,None,
APR-022,AS-023,Client_Legal,2,Approve,2026-01-28,Color_palette,Use_approved_hex_values
APR-023,AS-024,Internal_CD,3,Revise,2026-01-27,Logo_usage,Remove_glitch_on_face
APR-024,AS-025,Producer,4,Hold,2026-01-26,Character_proportions,Swap_to_licensed_alt
APR-025,AS-001,Licensing,1,Approve,2026-01-25,Copy_tone,Tighten_for_6s_cut
